pin,slack
genCounters[85].counter/count[9]:Q,996189
genCounters[158].counter/count_cry[9]:B,997326
genCounters[158].counter/count_cry[9]:FCI,997147
genCounters[158].counter/count_cry[9]:FCO,997147
genCounters[158].counter/count_cry[9]:S,997261
genCounters[112].counter/count_cry[12]:B,997383
genCounters[112].counter/count_cry[12]:FCI,997147
genCounters[112].counter/count_cry[12]:FCO,997147
genCounters[112].counter/count_cry[12]:S,997204
genCounters[2].counter/count[10]:ALn,
genCounters[2].counter/count[10]:CLK,996242
genCounters[2].counter/count[10]:D,997242
genCounters[2].counter/count[10]:EN,995944
genCounters[2].counter/count[10]:Q,996242
genCounters[132].counter/count_cry[3]:B,997212
genCounters[132].counter/count_cry[3]:FCI,997147
genCounters[132].counter/count_cry[3]:FCO,997147
genCounters[132].counter/count_cry[3]:S,997375
genCounters[388].counter/count[5]:ALn,
genCounters[388].counter/count[5]:CLK,996136
genCounters[388].counter/count[5]:D,997337
genCounters[388].counter/count[5]:EN,995944
